,scenario_id,roaduser_id,strategy
3,4,v23,0
5,6,v25,0
6,7,v25,0
11,11,v31,0
13,12,v34,0
14,13,v10,0
16,15,v13,0
17,16,v13,0
18,16,v14,0
19,17,v14,0
22,20,v37,0
25,23,v38,0
27,25,v15,0
29,27,v16,0
30,28,v40,0
37,35,v51,0
38,36,v73,0
44,41,v52,0
49,46,v84,0
50,46,v330,0
56,52,v61,0
57,52,v62,0
58,53,v64,0
59,54,v65,0
60,55,v90,0
68,63,v116,0
69,64,v119,0
72,67,v96,0
73,68,v96,0
74,69,v308,0
77,71,v97,0
78,71,v98,0
79,72,v127,0
82,74,v99,0
83,75,v128,0
92,82,v132,0
94,82,v134,0
98,86,v111,0
101,89,v96,0
104,92,v100,0
107,96,v10,0
108,96,v34,0
111,98,v40,0
115,100,v80,0
116,100,v301,0
117,101,v93,0
120,102,v127,0
122,103,v199,0
123,103,v229,0