scenario_id,roaduser_id,user_type,strategy
1,c17,2,1
1,p1,1,0
1,p2,1,0
1,p55,1,0
1,p83,1,2
1,p84,1,2
1,p85,1,2
2,p91,1,2
2,p92,1,2
2,p93,1,2
2,c22,2,0
3,c23,2,1
3,p133,1,0
3,p134,1,0
3,p94,1,0
3,p95,1,0
3,p96,1,0
4,p136,1,0
4,c23,2,1
5,c25,2,1
5,p4,1,0
5,p5,1,0
5,p6,1,0
5,p7,1,0
5,p8,1,0
6,c25,2,1
6,p58,1,0
6,p57,1,0
7,c25,2,0
7,p11,1,1
8,c6,2,1
8,p61,1,0
8,p24,1,0
8,p23,1,0
9,c28,2,1
9,c29,2,1
9,p112,1,0
9,p113,1,0
9,p114,1,0
10,c31,2,0
10,p150,1,1
10,p151,1,1
11,p117,1,0
11,p116,1,0
11,p152,1,0
11,p153,1,0
11,c31,2,1
11,p115,1,0
12,c33,2,1
12,c34,2,1
12,p154,1,0
12,p155,1,0
12,p118,1,0
13,c10,2,1
13,p156,1,0
13,p157,1,0
13,p119,1,0
13,p120,1,0
14,c34,2,1
14,p119,1,0
14,p120,1,0
15,c13,2,1
15,p63,1,0
16,c13,2,1
16,p41,1,0
16,p42,1,0
16,p43,1,0
16,p44,1,0
16,p64,1,0
16,p45,1,0
16,c14,2,1
17,c14,2,0
17,p66,1,1
18,c36,2,1
18,p121,1,0
19,c37,2,1
19,p66,1,0
20,c37,2,1
20,p67,1,0
20,p68,1,0
20,p46,1,0
20,p47,1,0
20,p48,1,0
21,c38,2,0
21,p160,1,1
22,p122,1,0
22,c38,2,1
23,c38,2,1
23,p49,1,0
23,p50,1,0
24,c38,2,0
24,p70,1,2
24,p71,1,2
25,c15,2,1
25,p49,1,0
25,p50,1,0
26,p161,1,2
26,p162,1,0
26,p163,1,0
26,c39,2,1
27,c16,2,1
27,p52,1,0
27,p51,1,0
28,c40,2,1
28,p53,1,0
28,p54,1,0
29,c41,2,0
29,p226,1,2
29,p225,1,2
30,p228,1,0
30,c68,2,1
31,p177,1,1
31,c69,2,0
32,c45,2,1
32,p183,1,0
32,p184,1,0
33,c49,2,1
33,p188,1,0
34,p189,1,0
34,p191,1,0
34,p192,1,0
34,c51,2,1
35,c51,2,1
35,p193,1,0
35,p194,1,0
36,c73,2,1
36,p193,1,0
37,c74,2,1
37,p197,1,0
38,c75,2,1
38,p292,1,0
38,p325,1,0
38,c74,2,1
39,c74,2,1
39,p197,1,0
40,c77,2,1
40,p233,1,0
40,p199,1,0
41,c52,2,0
41,p200,1,1
41,p201,1,1
41,p202,1,2
42,c301,2,0
42,p329,1,1
42,p330,1,1
43,p205,1,0
43,p206,1,0
43,c53,2,1
44,c55,2,0
44,p209,1,2
44,p210,1,2
45,c55,2,0
45,p301,1,1
46,c84,2,1
46,p301,1,0
46,c330,2,1
47,c57,2,0
47,p239,1,2
47,p240,1,2
48,c84,2,1
48,p215,1,0
48,p216,1,0
49,c87,2,1
49,p247,1,0
49,p248,1,0
49,p251,1,0
49,p252,1,0
50,c58,2,1
50,p339,1,0
51,p314,1,0
51,p343,1,0
51,c89,2,1
52,c61,2,1
52,c62,2,1
52,p261,1,0
52,p262,1,0
53,c64,2,1
53,p221,1,0
54,c65,2,0
54,p317,1,2
55,c90,2,1
55,p344,1,0
56,c59,2,1
56,p343,1,0
56,p340,1,0
57,p344,1,0
57,p260,1,0
57,c91,2,1
58,c78,2,0
58,p328,1,1
58,p326,1,1
58,p294,1,2
59,p217,1,1
59,p218,1,1
59,c85,2,0
60,p304,1,2
60,p305,1,2
60,c57,2,0
61,p343,1,0
61,c89,2,1
62,p217,1,1
62,p218,1,1
62,c87,2,1
63,c116,2,1
63,p464,1,2
63,p273,1,0
64,c119,2,0
64,p467,1,1
65,p349,1,0
65,p350,1,0
65,c121,2,1
66,c122,2,1
66,p386,1,0
67,c96,2,1
67,p388,1,0
68,c96,2,1
68,p393,1,0
69,c308,2,0
69,p394,1,2
70,c126,2,1
70,c127,2,1
70,p470,1,0
70,p469,1,0
71,p353,1,0
71,p354,1,0
71,p355,1,0
71,p394,1,0
71,c97,2,1
71,c98,2,1
72,p396,1,0
72,c127,2,1
73,c128,2,1
73,c129,2,1
73,p437,1,0
74,c99,2,1
74,p471,1,0
74,p472,1,0
74,p439,1,0
75,c128,2,1
75,c129,2,1
75,p399,1,0
75,p400,1,0
76,c101,2,1
76,p473,1,0
77,c104,2,1
77,p401,1,0
78,p402,1,0
78,c103,2,1
79,p361,1,0
79,p362,1,0
79,c104,2,1
80,c106,2,0
80,p445,1,1
81,c313,2,1
81,p445,1,0
82,p363,1,0
82,c131,2,1
82,c132,2,1
82,c133,2,1
82,c134,2,1
83,c109,2,1
83,p364,1,0
83,p365,1,0
83,p366,1,0
84,c302,2,1
84,p630,1,0
84,p631,1,0
85,p415,1,0
85,p416,1,0
85,p417,1,0
85,c138,2,1
86,c111,2,1
86,p415,1,0
86,p416,1,0
86,p417,1,0
86,p375,1,0
86,p376,1,0
87,p445,1,1
87,c104,2,0
88,c94,2,0
88,p387,1,2
89,c96,2,1
89,p388,1,0
90,c109,2,1
90,p476,1,0
90,p477,1,0
91,c121,2,1
91,p350,1,0
91,p349,1,0
92,c100,2,0
92,p473,1,1
93,p478,1,0
93,c140,2,1
94,c112,2,0
94,p458,1,2
95,p553,1,2
95,p554,1,2
95,p555,1,2
95,p481,1,0
95,p482,1,0
96,c10,2,1
96,c34,2,1
96,p119,1,0
96,p120,1,0
97,c40,2,1
97,c68,2,1
97,p280,1,0
97,p281,1,0
97,p282,1,0
97,p283,1,0
98,c40,2,0
98,c67,2,0
98,p321,1,1
99,c45,2,1
99,c68,2,1
99,p228,1,0
99,p171,1,0
100,c301,2,0
100,c80,2,0
100,p209,1,1
101,c93,2,1
101,c121,2,1
101,p349,1,0
101,p350,1,0
102,c97,2,1
102,c128,2,1
102,p437,1,0
102,p438,1,0
102,c127,2,1
103,c199,2,1
103,p761,1,0
103,p762,1,0
103,c229,2,1
103,p688,1,0
104,c212,2,0
104,c243,2,0
104,p867,1,1